Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Weight_per_Unit_g,fiber_g,sugar_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg_detailed,zinc_mg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b6_mg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,folate_mcg,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,trans_fat_g,cholesterol_mg_detailed,omega_3_g,omega_6_g
Scrambled Eggs (2 large),Protein/Dairy,180,12.0,2.0,14.0,0.0,1.0,180,370,Breakfast,250,200.0,0.0,0.0,130.0,2.9,0.0,0.0,274.0,436.0,0.0,0.0,0.0,0.96,0.0,0.0,4.36,0.0,388.0,0.0,0.0,130.0,4.04,0.0,0.0,0.0,588.0,0.0,0.0
Whole Wheat Toast (1 slice),Grain,80,4.0,14.0,1.0,2.0,2.0,140,0,Breakfast,0,40.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,177.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1119999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Coffee (black),Beverage,5,0.3,0.0,0.1,0.0,0.0,5,0,Breakfast,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banana,Fruit,105,1.3,27.0,0.4,3.1,14.0,1,0,Breakfast,0,100.0,6.2,0.0,125.0,1.12,0.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.12,3.12,0.0,0.0,0.0,0.0
Grilled Chicken Salad,Meal/Protein,350,30.0,10.0,20.0,5.0,4.0,400,80,Lunch,500,100.0,1.0,0.0,48.0,0.65,0.0,0.0,0.0,230.0,0.0,0.0,0.056,0.083,3.7,0.0,0.0,10.2,0.0,0.0,0.0,0.0,1.24,1.01,0.431,0.091,28.0,0.0,0.0
Apple,Fruit,95,0.5,25.0,0.3,4.4,19.0,2,0,Snack,0,100.0,3.2,0.0,0.0,0.23,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salmon (4oz grilled),Protein/Fish,230,25.0,0.0,14.0,0.0,0.0,60,60,Dinner,250,113.4,0.0,0.0,15.876000000000001,0.86184,0.0,0.0,0.0,71.44200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7896400000000003,0.0,0.0,0.0,63.504000000000005,0.0,0.0
Quinoa (1 cup cooked),Grain,222,8.0,39.0,3.6,5.0,1.0,13,0,Dinner,0,240.0,5.04,0.0,33.6,1.8479999999999999,0.0,0.0,0.0,376.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.0,0.0,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0,0.0
Steamed Broccoli (1 cup),Vegetable,55,3.7,11.2,0.6,5.1,2.0,40,0,Dinner,0,240.0,0.0,0.0,180.0,14.016,55.199999999999996,295.2,472.79999999999995,259.2,119.39999999999999,38.4,0.045599999999999995,0.2592,2.6688,0.084,0.0,0.0,0.0,2.592,3.12,16.8,1.44,0.768,1.6032,0.0,122.39999999999999,0.0,0.0
Greek Yogurt (plain 1 cup),Dairy,150,25.0,8.0,3.0,0.0,7.0,85,10,Snack,250,240.0,7.919999999999999,0.0,319.2,0.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08,0.0,0.0,0.0,0.0,0.0,0.0
Oatmeal (1 cup cooked),Grain,160,6.0,28.0,3.0,4.0,1.0,2,0,Breakfast,250,240.0,26.639999999999997,0.0,105.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.664,0.0,0.0,0.0,0.0,0.0,0.0
Blueberries (1/2 cup),Fruit,42,0.5,11.0,0.2,1.8,7.0,1,0,Breakfast,0,120.0,3.48,0.0,8.4,0.252,0.0,0.0,68.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almonds (1 oz),Nut,164,6.0,6.0,14.0,3.5,1.0,1,0,Snack,0,28.4,2.84,0.0,94.57199999999999,1.0224,0.0,0.0,0.0,104.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Sandwich (on wheat),Meal/Processed,340,22.0,34.0,12.0,5.0,6.0,850,50,Lunch,500,100.0,2.6,0.0,132.0,4.77,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,26.0,0.0,0.0
Carrot Sticks (1 cup),Vegetable,52,1.2,12.3,0.3,3.6,6.0,88,0,Snack,0,240.0,5.76,11.304,57.599999999999994,1.008,0.0,0.0,592.8,170.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaghetti Bolognese,Meal/Pasta,460,20.0,55.0,18.0,6.0,10.0,700,50,Dinner,250,100.0,0.5,0.0,46.0,1.02,0.0,0.0,122.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.25,18.0,0.0,0.0
Side Salad (light dressing),Vegetable,70,2.0,8.0,4.0,3.0,3.0,150,0,Dinner,0,100.0,1.6,0.0,24.0,0.65,0.0,0.0,220.0,12.0,0.0,0.0,0.045,0.038,0.208,0.0,0.0,15.7,0.0,0.0,0.0,57.0,0.02,0.006,0.079,0.0,0.0,0.0,0.0
Protein Shake (Whey),Supplement,120,24.0,3.0,1.0,1.0,2.0,160,5,Snack,500,100.0,0.3,0.0,141.0,1.27,2.0,85.0,175.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.41,0.42,0.0,0.0,0.0,0.0
Cereal (Frosted Flakes 1 cup),Grain/Processed,130,2.0,31.0,0.0,1.0,11.0,190,0,Breakfast,0,240.0,13.44,0.0,866.4,24.0,105.6,400.8,667.1999999999999,1000.8,19.992,600.0,2.4,1.1327999999999998,13.344,2.664,7.992,40.08,14.399999999999999,0.0,0.0,532.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milk (2% - 1 cup),Dairy,122,8.0,12.0,5.0,0.0,12.0,100,20,Breakfast,0,240.0,0.0,0.0,304.8,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,100.8,0.0,0.0,0.0,3.048,0.0,0.0,0.0,19.2,0.0,0.0
Lentil Soup (1 can),Meal/Legume,230,15.0,35.0,3.0,12.0,6.0,650,0,Lunch,250,350.0,10.15,0.0,28.0,3.8500000000000005,0.0,0.0,0.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Rice (1 cup cooked),Grain,204,4.2,44.5,0.4,0.6,0.1,2,0,Dinner,0,240.0,5.28,0.0,0.0,5.328,0.0,0.0,266.4,0.0,0.0,0.0,0.0,0.0,10.656,0.0,0.0,0.0,0.0,0.0,0.0,376.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tofu Stir-fry,Meal/Vegetarian,400,18.0,30.0,22.0,7.0,9.0,500,0,Dinner,250,100.0,2.8,0.0,35.0,1.01,17.0,47.0,244.0,146.0,0.38,231.0,0.054,0.093,0.771,0.194,0.0,35.3,0.0,0.85,39.3,34.0,0.712,0.92,0.814,0.0,2.0,0.0,0.0
Orange,Fruit,62,1.2,15.4,0.2,3.1,12.0,0,0,Snack,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagel (plain),Grain,270,11.0,55.0,1.5,2.0,5.0,430,0,Breakfast,250,100.0,1.6,0.0,70.0,3.57,29.0,99.0,107.0,422.0,0.83,0.0,0.568,0.344,4.515,0.07,0.0,0.0,0.0,0.32,0.2,106.0,0.36,0.39,0.526,0.0,0.0,0.0,0.0
Cream Cheese (2 tbsp),Dairy,100,2.0,2.0,10.0,0.0,1.0,90,30,Breakfast,0,15.0,0.0,0.0,14.399999999999999,0.0,0.0,0.0,0.0,50.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2099999999999995,0.0,0.0,0.0,16.05,0.0,0.0
Tuna Salad (1/2 cup),Meal/Fish,190,19.0,2.0,12.0,1.0,1.0,400,30,Lunch,500,120.0,0.0,0.0,24.0,0.432,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,48.0,0.0,0.0
Crackers (5 whole wheat),Grain/Processed,90,2.0,14.0,3.0,2.0,0.0,180,0,Lunch,0,100.0,0.0,0.0,72.0,5.18,0.0,0.0,0.0,935.0,0.0,0.0,0.0,0.489,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,7.19,1.8,0.0,0.0,0.0,0.0
Beef Steak (6oz sirloin),Protein/Meat,270,42.0,0.0,10.0,0.0,0.0,90,115,Dinner,250,170.1,0.0,0.0,0.0,10.937429999999999,0.0,0.0,0.0,4677.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04479,0.0,0.0,0.0,182.00699999999998,0.0,0.0
Baked Potato (medium),Vegetable,160,4.3,36.0,0.2,3.8,1.0,17,0,Dinner,0,150.0,2.25,0.0,7.5,0.5249999999999999,37.5,75.0,583.5,271.5,0.43499999999999994,0.0,0.1575,0.0315,2.0835,0.44999999999999996,0.0,19.049999999999997,0.0,0.06,0.44999999999999996,13.5,0.039,0.003,0.0645,0.0,0.0,0.0,0.0
